area_code,area_name,indicator,group,measure,value
E09000003,Barnet,Voted leave in EU referendum,NA,Percentage,37.77
E09000004,Bexley,Voted leave in EU referendum,NA,Percentage,62.95
E09000005,Brent,Voted leave in EU referendum,NA,Percentage,40.26
E09000006,Bromley,Voted leave in EU referendum,NA,Percentage,49.35
E09000007,Camden,Voted leave in EU referendum,NA,Percentage,25.06
E09000008,Croydon,Voted leave in EU referendum,NA,Percentage,45.71
E09000009,Ealing,Voted leave in EU referendum,NA,Percentage,39.6
E09000010,Enfield,Voted leave in EU referendum,NA,Percentage,44.18
E09000011,Greenwich,Voted leave in EU referendum,NA,Percentage,44.41
E09000012,Hackney,Voted leave in EU referendum,NA,Percentage,21.52
E09000013,Hammersmith and Fulham,Voted leave in EU referendum,NA,Percentage,29.98
E09000014,Haringey,Voted leave in EU referendum,NA,Percentage,24.43
E09000015,Harrow,Voted leave in EU referendum,NA,Percentage,45.37
E09000016,Havering,Voted leave in EU referendum,NA,Percentage,69.66
E09000017,Hillingdon,Voted leave in EU referendum,NA,Percentage,56.37
E09000018,Hounslow,Voted leave in EU referendum,NA,Percentage,48.94
E09000019,Islington,Voted leave in EU referendum,NA,Percentage,24.78
E09000020,Kensington and Chelsea,Voted leave in EU referendum,NA,Percentage,31.31
E09000021,Kingston upon Thames,Voted leave in EU referendum,NA,Percentage,38.39
E09000022,Lambeth,Voted leave in EU referendum,NA,Percentage,21.38
E09000023,Lewisham,Voted leave in EU referendum,NA,Percentage,30.14
E09000024,Merton,Voted leave in EU referendum,NA,Percentage,37.06
E09000025,Newham,Voted leave in EU referendum,NA,Percentage,47.16
E09000026,Redbridge,Voted leave in EU referendum,NA,Percentage,46.03
E09000027,Richmond upon Thames,Voted leave in EU referendum,NA,Percentage,30.71
E09000028,Southwark,Voted leave in EU referendum,NA,Percentage,27.19
E09000029,Sutton,Voted leave in EU referendum,NA,Percentage,53.72
E09000030,Tower Hamlets,Voted leave in EU referendum,NA,Percentage,32.54
E09000031,Waltham Forest,Voted leave in EU referendum,NA,Percentage,40.9
E09000032,Wandsworth,Voted leave in EU referendum,NA,Percentage,24.97
E09000033,Westminster,Voted leave in EU referendum,NA,Percentage,31.03
E06000001,Hartlepool,Voted leave in EU referendum,NA,Percentage,69.57
E06000002,Middlesbrough,Voted leave in EU referendum,NA,Percentage,65.48
E06000003,Redcar and Cleveland,Voted leave in EU referendum,NA,Percentage,66.19
E06000004,Stockton-on-Tees,Voted leave in EU referendum,NA,Percentage,61.73
E06000005,Darlington,Voted leave in EU referendum,NA,Percentage,56.18
E06000047,County Durham,Voted leave in EU referendum,NA,Percentage,57.55
E06000057,Northumberland,Voted leave in EU referendum,NA,Percentage,54.11
E08000021,Newcastle upon Tyne,Voted leave in EU referendum,NA,Percentage,49.3
E08000022,North Tyneside,Voted leave in EU referendum,NA,Percentage,53.4
E08000023,South Tyneside,Voted leave in EU referendum,NA,Percentage,62.05
E08000024,Sunderland,Voted leave in EU referendum,NA,Percentage,61.34
E08000037,Gateshead,Voted leave in EU referendum,NA,Percentage,56.85
E06000006,Halton,Voted leave in EU referendum,NA,Percentage,57.42
E06000007,Warrington,Voted leave in EU referendum,NA,Percentage,54.27
E06000008,Blackburn with Darwen,Voted leave in EU referendum,NA,Percentage,56.34
E06000009,Blackpool,Voted leave in EU referendum,NA,Percentage,67.46
E06000049,Cheshire East,Voted leave in EU referendum,NA,Percentage,51.18
E06000050,Cheshire West and Chester,Voted leave in EU referendum,NA,Percentage,50.68
E07000026,Allerdale,Voted leave in EU referendum,NA,Percentage,58.65
E07000027,Barrow-in-Furness,Voted leave in EU referendum,NA,Percentage,60.62
E07000028,Carlisle,Voted leave in EU referendum,NA,Percentage,60.14
E07000029,Copeland,Voted leave in EU referendum,NA,Percentage,62
E07000030,Eden,Voted leave in EU referendum,NA,Percentage,53.32
E07000031,South Lakeland,Voted leave in EU referendum,NA,Percentage,47.14
E07000117,Burnley,Voted leave in EU referendum,NA,Percentage,66.61
E07000118,Chorley,Voted leave in EU referendum,NA,Percentage,56.83
E07000119,Fylde,Voted leave in EU referendum,NA,Percentage,56.96
E07000120,Hyndburn,Voted leave in EU referendum,NA,Percentage,66.19
E07000121,Lancaster,Voted leave in EU referendum,NA,Percentage,51.08
E07000122,Pendle,Voted leave in EU referendum,NA,Percentage,63.15
E07000123,Preston,Voted leave in EU referendum,NA,Percentage,53.31
E07000124,Ribble Valley,Voted leave in EU referendum,NA,Percentage,56.39
E07000125,Rossendale,Voted leave in EU referendum,NA,Percentage,60.68
E07000126,South Ribble,Voted leave in EU referendum,NA,Percentage,58.56
E07000127,West Lancashire,Voted leave in EU referendum,NA,Percentage,55.31
E07000128,Wyre,Voted leave in EU referendum,NA,Percentage,63.77
E08000001,Bolton,Voted leave in EU referendum,NA,Percentage,58.29
E08000002,Bury,Voted leave in EU referendum,NA,Percentage,54.12
E08000003,Manchester,Voted leave in EU referendum,NA,Percentage,39.64
E08000004,Oldham,Voted leave in EU referendum,NA,Percentage,60.86
E08000005,Rochdale,Voted leave in EU referendum,NA,Percentage,60.07
E08000006,Salford,Voted leave in EU referendum,NA,Percentage,56.81
E08000007,Stockport,Voted leave in EU referendum,NA,Percentage,47.67
E08000008,Tameside,Voted leave in EU referendum,NA,Percentage,61.14
E08000009,Trafford,Voted leave in EU referendum,NA,Percentage,42.31
E08000010,Wigan,Voted leave in EU referendum,NA,Percentage,63.9
E08000011,Knowsley,Voted leave in EU referendum,NA,Percentage,51.56
E08000012,Liverpool,Voted leave in EU referendum,NA,Percentage,41.81
E08000013,St. Helens,Voted leave in EU referendum,NA,Percentage,58.02
E08000014,Sefton,Voted leave in EU referendum,NA,Percentage,48.13
E08000015,Wirral,Voted leave in EU referendum,NA,Percentage,48.3
N92000002,Northern Ireland,Voted leave in EU referendum,NA,Percentage,44.22
S12000005,Clackmannanshire,Voted leave in EU referendum,NA,Percentage,42.22
S12000006,Dumfries and Galloway,Voted leave in EU referendum,NA,Percentage,46.94
S12000008,East Ayrshire,Voted leave in EU referendum,NA,Percentage,41.4
S12000010,East Lothian,Voted leave in EU referendum,NA,Percentage,35.4
S12000011,East Renfrewshire,Voted leave in EU referendum,NA,Percentage,25.68
S12000013,Eilean Siar,Voted leave in EU referendum,NA,Percentage,44.76
S12000014,Falkirk,Voted leave in EU referendum,NA,Percentage,43.24
S12000015,Fife,Voted leave in EU referendum,NA,Percentage,41.41
S12000017,Highland,Voted leave in EU referendum,NA,Percentage,44.05
S12000018,Inverclyde,Voted leave in EU referendum,NA,Percentage,36.2
S12000019,Midlothian,Voted leave in EU referendum,NA,Percentage,37.94
S12000020,Moray,Voted leave in EU referendum,NA,Percentage,49.87
S12000021,North Ayrshire,Voted leave in EU referendum,NA,Percentage,43.12
S12000023,Orkney Islands,Voted leave in EU referendum,NA,Percentage,36.84
S12000024,Perth and Kinross,Voted leave in EU referendum,NA,Percentage,38.91
S12000026,Scottish Borders,Voted leave in EU referendum,NA,Percentage,41.53
S12000027,Shetland Islands,Voted leave in EU referendum,NA,Percentage,43.49
S12000028,South Ayrshire,Voted leave in EU referendum,NA,Percentage,41.04
S12000029,South Lanarkshire,Voted leave in EU referendum,NA,Percentage,36.92
S12000030,Stirling,Voted leave in EU referendum,NA,Percentage,32.28
S12000033,Aberdeen City,Voted leave in EU referendum,NA,Percentage,38.9
S12000034,Aberdeenshire,Voted leave in EU referendum,NA,Percentage,44.99
S12000035,Argyll and Bute,Voted leave in EU referendum,NA,Percentage,39.43
S12000036,City of Edinburgh,Voted leave in EU referendum,NA,Percentage,25.56
S12000038,Renfrewshire,Voted leave in EU referendum,NA,Percentage,35.19
